import time: self [us] | cumulative | imported package
import time:      1498 |       1498 |                       pycparser.ply.yacc
import time:      1202 |       1202 |                       pycparser.c_ast
import time:       920 |        920 |                         pycparser.ply.lex
import time:      1649 |       2568 |                       pycparser.c_lexer
import time:       605 |        605 |                       pycparser.plyparser
import time:       556 |        556 |                       pycparser.ast_transforms
import time:      2503 |       9538 |                     pycparser.c_parser
import time:      1282 |      10820 |                   pycparser
import time:      2777 |      14541 |                 cffi.cparser
import time:       705 |        705 |                 pycparser.lextab
import time:      4608 |       4608 |                 pycparser.yacctab
import time:       834 |        834 |                 ctypes.util
import time:     28768 |      56154 |               soundfile
import time:      3397 |       3397 |               agent_cascade.utils.thinking_block
import time:      2373 |     735804 |             agent_cascade.utils.utils
import time:      2414 |    1340267 |           agent_cascade.llm.base
import time:       721 |        721 |               httpx.__version__
import time:       845 |        845 |                     httpx._exceptions
import time:      1454 |       1454 |                           httpx._types
import time:       661 |        661 |                           httpx._utils
import time:      1109 |       3223 |                         httpx._multipart
import time:       780 |       4003 |                       httpx._content
import time:      1251 |       1251 |                         zstandard
import time:      1393 |       2644 |                       httpx._decoders
import time:      1643 |       1643 |                       httpx._status_codes
import time:      1653 |       1653 |                         httpx._urlparse
import time:      1381 |       3033 |                       httpx._urls
import time:      1790 |      13111 |                     httpx._models
import time:      1178 |      15133 |                   httpx._auth
import time:      1041 |       1041 |                   httpx._config
import time:       709 |        709 |                         httpx._transports.base
import time:      1162 |       1870 |                       httpx._transports.asgi
import time:      1142 |       1142 |                       httpx._transports.default
import time:       692 |        692 |                       httpx._transports.mock
import time:       670 |        670 |                       httpx._transports.wsgi
import time:      1669 |       6041 |                     httpx._transports
import time:       341 |       6382 |                   httpx._transports.base
import time:      1839 |      24394 |                 httpx._client
import time:       677 |      25071 |               httpx._api
import time:      1395 |       1395 |                     gettext
import time:      1155 |       1155 |                           ctypes.wintypes
import time:      1886 |       3041 |                         click._winconsole
import time:      1405 |       4446 |                       click._compat
import time:       636 |        636 |                         click.globals
import time:       744 |        744 |                         click.utils
import time:      1379 |       2759 |                       click.exceptions
import time:      2275 |       9478 |                     click.types
import time:       874 |        874 |                       click.parser
import time:      1083 |       1957 |                     click.formatting
import time:       834 |        834 |                     click.termui
import time:      2548 |      16211 |                   click.core
import time:       798 |        798 |                   click.decorators
import time:      1233 |      18241 |                 click
import time:       879 |        879 |                   pygments
import time:      1696 |       1696 |                   pygments.lexers._mapping
import time:       693 |        693 |                   pygments.modeline
import time:       533 |        533 |                   pygments.plugin
import time:      1348 |       1348 |                   pygments.util
import time:      1791 |       6936 |                 pygments.lexers
import time:       931 |        931 |                     rich._extension
import time:      1422 |       2352 |                   rich
import time:       606 |        606 |                     termios
import time:       952 |       1558 |                   getpass
import time:      1686 |       1686 |                     html.entities
import time:      1248 |       2934 |                   html
import time:       850 |        850 |                   rich._null_file
import time:       733 |        733 |                   rich.errors
import time:       616 |        616 |                           colorsys
import time:       756 |        756 |                               rich.color_triplet
import time:       869 |       1625 |                             rich.palette
import time:       774 |       2398 |                           rich._palettes
import time:      1292 |       1292 |                           rich.repr
import time:       865 |        865 |                           rich.terminal_theme
import time:      2270 |       7439 |                         rich.color
import time:      1266 |       8705 |                       rich.style
import time:      2189 |      10893 |                     rich.default_styles
import time:      1775 |       1775 |                       configparser
import time:      1030 |       2805 |                     rich.theme
import time:       994 |      14692 |                   rich.themes
import time:      2187 |       2187 |                     rich._emoji_codes
import time:      1116 |       3303 |                   rich._emoji_replace
import time:       595 |        595 |                   rich._export_format
import time:       553 |        553 |                   rich._fileno
import time:       878 |        878 |                       rich._loop
import time:       599 |        599 |                       rich._pick
import time:       646 |        646 |                           rich._cell_widths
import time:      1027 |       1672 |                         rich.cells
import time:       892 |       2564 |                       rich._wrap
import time:      1350 |       1350 |                             rich.segment
import time:       771 |       2121 |                           rich.jupyter
import time:       686 |        686 |                             rich.protocol
import time:       967 |       1652 |                           rich.measure
import time:      1028 |       4800 |                         rich.constrain
import time:      1103 |       5903 |                       rich.align
import time:      1113 |       1113 |                       rich.containers
import time:       756 |        756 |                       rich.control
import time:       628 |        628 |                       rich.emoji
import time:     17270 |      29708 |                     rich.text
import time:       893 |      30600 |                   rich._log_render
import time:       693 |        693 |                   rich.highlighter
import time:      1469 |       1469 |                   rich.markup
import time:       785 |        785 |                   rich.pager
import time:       101 |        101 |                     array
import time:       720 |        720 |                         attr._compat
import time:       526 |        526 |                           attr._config
import time:       566 |        566 |                             attr.exceptions
import time:       655 |       1221 |                           attr.setters
